nr_zamowienia,data,kategoria,kanal,ilosc,cena_jedn,wartosc
ZAM-1035,2025-01-01,Zabawki,sklep online,3,106.77,320.31
ZAM-1077,2025-01-02,Moda,marketplace,2,163.74,327.48
ZAM-1180,2025-01-02,Sport,marketplace,4,313.99,1255.96
ZAM-1044,2025-01-04,Elektronika,sklep online,1,393.63,393.63
ZAM-1068,2025-01-05,Sport,sklep online,5,395.59,1977.95
ZAM-1147,2025-01-07,Sport,marketplace,4,159.86,639.44
ZAM-1135,2025-01-10,Kosmetyki,marketplace,5,46.38,231.9
ZAM-1043,2025-01-11,Zabawki,sklep online,5,78.85,394.25
ZAM-1237,2025-01-12,Kosmetyki,stacjonarnie,4,65.06,260.24
ZAM-1109,2025-01-13,Elektronika,stacjonarnie,2,801.33,1602.66
ZAM-1093,2025-01-20,Elektronika,stacjonarnie,5,504.66,2523.3
ZAM-1064,2025-01-21,Zabawki,stacjonarnie,1,99.28,99.28
ZAM-1137,2025-01-21,Elektronika,sklep online,2,377.65,755.3
ZAM-1215,2025-01-23,Moda,marketplace,4,173.55,694.2
ZAM-1226,2025-01-24,Moda,marketplace,1,114.24,114.24
ZAM-1076,2025-01-27,Elektronika,sklep online,4,717.85,2871.4
ZAM-1019,2025-01-29,Dom i ogród,marketplace,1,281.89,281.89
ZAM-1124,2025-02-01,Dom i ogród,stacjonarnie,4,192.13,768.52
ZAM-1090,2025-02-05,Moda,marketplace,3,164.37,493.11
ZAM-1209,2025-02-05,Moda,stacjonarnie,4,120.94,483.76
ZAM-1185,2025-02-06,Elektronika,stacjonarnie,2,698.02,1396.04
ZAM-1069,2025-02-07,Zabawki,sklep online,2,108.64,217.28
ZAM-1110,2025-02-07,Sport,stacjonarnie,4,365.94,1463.76
ZAM-1011,2025-02-10,Zabawki,stacjonarnie,3,143.58,430.74
ZAM-1037,2025-02-10,Elektronika,stacjonarnie,4,710.65,2842.6
ZAM-1003,2025-02-14,Zabawki,sklep online,4,57.43,229.72
ZAM-1190,2025-02-16,Dom i ogród,sklep online,5,234.82,1174.1
ZAM-1224,2025-02-16,Sport,stacjonarnie,1,332.74,332.74
ZAM-1159,2025-02-17,Moda,sklep online,2,130.23,260.46
ZAM-1204,2025-02-17,Dom i ogród,sklep online,1,207.67,207.67
ZAM-1054,2025-02-20,Elektronika,sklep online,5,721.45,3607.25
ZAM-1178,2025-02-20,Dom i ogród,sklep online,2,165.16,330.32
ZAM-1014,2025-02-21,Sport,marketplace,3,251.7,755.1
ZAM-1225,2025-02-21,Sport,sklep online,2,315.22,630.44
ZAM-1170,2025-02-22,Elektronika,marketplace,5,423.54,2117.7
ZAM-1073,2025-02-23,Dom i ogród,sklep online,3,132.93,398.79
ZAM-1087,2025-02-25,Sport,sklep online,1,358.67,358.67
ZAM-1252,2025-02-25,Kosmetyki,stacjonarnie,2,81.6,163.2
ZAM-1139,2025-02-28,Zabawki,marketplace,2,104.22,208.44
ZAM-1141,2025-02-28,Dom i ogród,sklep online,3,131.35,394.05
ZAM-1256,2025-03-01,Elektronika,sklep online,2,749.12,1498.24
ZAM-1145,2025-03-03,Zabawki,marketplace,1,91.5,91.5
ZAM-1202,2025-03-04,Elektronika,stacjonarnie,5,701.63,3508.15
ZAM-1250,2025-03-05,Sport,stacjonarnie,3,309.63,928.89
ZAM-1038,2025-03-06,Dom i ogród,sklep online,4,312.52,1250.08
ZAM-1217,2025-03-06,Zabawki,sklep online,5,89.86,449.3
ZAM-1130,2025-03-07,Zabawki,marketplace,5,56.91,284.55
ZAM-1067,2025-03-09,Kosmetyki,sklep online,3,80.41,241.23
ZAM-1201,2025-03-09,Moda,marketplace,4,198.84,795.36
ZAM-1132,2025-03-11,Sport,marketplace,2,145.28,290.56
ZAM-1255,2025-03-13,Elektronika,marketplace,1,434.36,434.36
ZAM-1219,2025-03-15,Sport,marketplace,2,151.75,303.5
ZAM-1230,2025-03-15,Dom i ogród,marketplace,4,245.79,983.16
ZAM-1112,2025-03-17,Kosmetyki,sklep online,1,116.98,116.98
ZAM-1080,2025-03-18,Zabawki,stacjonarnie,1,144.14,144.14
ZAM-1026,2025-03-20,Kosmetyki,marketplace,2,108.53,217.06
ZAM-1259,2025-03-21,Sport,stacjonarnie,1,352.09,352.09
ZAM-1031,2025-03-22,Sport,stacjonarnie,1,383.81,383.81
ZAM-1179,2025-03-22,Dom i ogród,sklep online,2,227.23,454.46
ZAM-1203,2025-03-23,Moda,marketplace,5,73.97,369.85
ZAM-1078,2025-03-24,Kosmetyki,marketplace,4,88.34,353.36
ZAM-1195,2025-03-24,Moda,marketplace,4,171.89,687.56
ZAM-1015,2025-03-25,Moda,marketplace,3,102.17,306.51
ZAM-1085,2025-03-25,Dom i ogród,stacjonarnie,4,113.35,453.4
ZAM-1246,2025-03-26,Moda,marketplace,4,211.3,845.2
ZAM-1106,2025-03-28,Kosmetyki,stacjonarnie,1,65.84,65.84
ZAM-1062,2025-04-06,Elektronika,sklep online,5,306.7,1533.5
ZAM-1199,2025-04-07,Zabawki,marketplace,3,121.24,363.72
ZAM-1048,2025-04-08,Elektronika,marketplace,1,625.85,625.85
