inwestycja,miasto,dzielnica,lokale,status,oddanie,cena_m2
Ciche-Bulwary,Warszawa,Wola,72,w sprzedaży,2026-Q4,15571
Parkowe Wzgórza,Wrocław,Fabryczna,239,w sprzedaży,2026-Q1,16840
Ciche Ogrody etap 1,Gdańsk,Wrzeszcz,62,w budowie,2026-Q1,11506
Nowe Tarasy,Wrocław,Fabryczna,151,w budowie,2027-Q2,15039
Zielone Wzgórza etap III,Gdańsk,Wrzeszcz,182,w budowie,2027-Q4,18542
Miejskie-Aleje etap 3,Wrocław,Fabryczna,116,w sprzedaży,2027-Q4,16657
Parkowe Tarasy,Wrocław,Fabryczna,173,oddana,2028-Q2,10544
Słoneczne Ogrody,Poznań,Grunwald,61,w budowie,2027-Q2,11992
Ciche Tarasy etap III,Wrocław,Fabryczna,89,w budowie,2028-Q4,18199
PARKOWE ZACISZE,Gdańsk,Oliwa,98,oddana,2027-Q3,15483
PARKOWE-OGRODY ETAP 2,Poznań,Rataje,260,w budowie,2026-Q4,12485
Miejskie Wzgórza,Gdańsk,Wrzeszcz,104,w sprzedaży,2028-Q4,14126
NOWE-WZGÓRZA ETAP 1,Warszawa,Białołęka,164,oddana,2028-Q4,11728
Słonezne Zacisze etap 3,Wrocław,Psie Pole,305,w sprzedaży,2028-Q1,18436
Nowe-Ogrody etap 1,Wrocław,Psie Pole,113,w budowie,2028-Q3,18293
Słoneczne Zacisze etap III,Poznań,Grunwald,282,oddana,2026-Q1,15851
Ciche-Zacisze etap 1,Warszawa,Białołęka,112,w sprzedaży,2027-Q2,16361
Ciche-Aleje etap II,Gdańsk,Wrzeszcz,71,w budowie,2028-Q4,9546
Słoneczne Zacisze etap 3,Warszawa,Bemowo,147,w sprzedaży,2026-Q1,15178
Ciche Tarasy,Poznań,Rataje,187,oddana,2028-Q1,13332
Parkowe Zacisze etap II,Warszawa,Bemowo,153,w budowie,2027-Q1,14009
Ciche Tarasy etap 3,Kraków,Bronowice,153,oddana,2028-Q3,10186
Miejskie Zacisze etap II,Warszawa,Wola,41,w sprzedaży,2028-Q3,16925
Miejskie Bulwary,Poznań,Rataje,158,w budowie,2027-Q4,15823
Nowe Tarasy etap III,Gdańsk,Wrzeszcz,154,w sprzedaży,2027-Q2,14908
Zielone Bulwary etap II,Poznań,Jeżyce,276,w budowie,2028-Q2,12972
Parkowe Aleje,Gdańsk,Jasień,286,w sprzedaży,2027-Q1,13194
Miejskie Ogrody,Wrocław,Psie Pole,180,w budowie,2026-Q2,10575
Nowe-Aleje etap III,Warszawa,Ursynów,127,w sprzedaży,2027-Q2,10985
Zielone Zacisze,Poznań,Rataje,275,w sprzedaży,2028-Q3,12841
Słoneczne Zacisze,Wrocław,Krzyki,267,oddana,2026-Q2,9552
Zielone-Tarasy,Warszawa,Ursynów,231,oddana,2027-Q4,14309
Parkowe Aleje,Gdańsk,Wrzeszcz,132,w sprzedaży,2028-Q3,16644
Zielone Tarasy etap 2,Poznań,Jeżyce,125,oddana,2026-Q4,10783
PARKOWE ZACISZE ETAP 2,Kraków,Bronowice,72,w sprzedaży,2026-Q3,9914
Słoneczne Bulwary,Warszawa,Mokotów,256,w budowie,2028-Q3,16075
Miejskie Ogrody,Gdańsk,Oliwa,95,oddana,2029-Q4,9963
Parkowe-Aleje etap 3,Warszawa,Wola,36,w sprzedaży,2028-Q3,13592
Nowe Orody etap 2,Warszawa,Mokotów,58,w budowie,2028-Q2,12609
Nowe Bulwary,Wrocław,Krzyki,280,oddana,2026-Q4,20821
Miejskie Zacisze,Warszawa,Bemowo,278,oddana,2026-Q3,9880
Słoneczne-Wzgórza,Wrocław,Fabryczna,272,oddana,2027-Q3,11774
