sku,product,category,billing,unit_price,unit_cost
TEL-SMART-128,Smartfon biznesowy 128 GB,Hardware,one-off,2149.0,1720.0
TEL-SMART-256,Smartfon biznesowy 256 GB,Hardware,one-off,2699.0,2180.0
TEL-SMART-LT,Smartfon podstawowy 64 GB,Hardware,one-off,1099.0,860.0
TEL-TAB-11,Tablet 11 cali LTE,Hardware,one-off,1849.0,1490.0
TEL-LAP-14,Laptop biznesowy 14 cali,Hardware,one-off,4590.0,3820.0
TEL-ROUT-5G,Router 5G do biura,Hardware,one-off,899.0,690.0
SUB-VOICE-M,Abonament głosowy bez limitu,Subscription,monthly,49.0,28.0
SUB-DATA-50,Pakiet danych 50 GB,Subscription,monthly,39.0,21.0
SUB-DATA-UNL,Pakiet danych bez limitu,Subscription,monthly,79.0,44.0
SUB-MDM,Zarządzanie flotą urządzeń (MDM),Subscription,monthly,24.0,11.0
ACC-CASE,Etui wzmocnione,Accessory,one-off,129.0,62.0
ACC-CHRG,Ładowarka sieciowa 65 W,Accessory,one-off,189.0,98.0
ACC-DOCK,Stacja dokująca USB-C,Accessory,one-off,749.0,520.0
ACC-HEAD,Słuchawki z redukcją szumów,Accessory,one-off,649.0,430.0
SRV-SETUP,Wdrożenie i konfiguracja urządzeń,Service,one-off,1200.0,640.0
SRV-TRAIN,Szkolenie dla zespołu (dzień),Service,one-off,2400.0,1300.0
SRV-SUPPORT,Wsparcie techniczne SLA 8h,Service,monthly,89.0,42.0
SRV-INSUR,Ubezpieczenie sprzętu,Service,monthly,19.0,9.5
